ts,invest,money,buy,sell
1482192000,10000.000,14841.115,0.000,0.000
1482278400,10000.000,14904.224,0.000,0.000
1482364800,10000.000,14914.742,0.000,0.000
1482451200,10000.000,14725.415,0.000,0.000
1482710400,10000.000,14767.488,0.000,0.000
1482796800,10000.000,14799.042,0.000,0.000
1482883200,10000.000,14735.933,0.000,0.000
1482969600,10000.000,14735.933,0.000,0.000
1483056000,10000.000,14862.151,0.000,0.000
1483142400,10000.000,14862.151,0.000,0.000
1483401600,10000.000,14998.887,0.000,0.000
1483488000,10000.000,15303.914,0.000,0.000
1483574400,10000.000,15251.323,0.000,0.000
1483660800,10000.000,15209.250,0.000,0.000
1483920000,10000.000,15240.805,0.000,0.000
1484006400,10000.000,15282.877,0.000,0.000
1484092800,10000.000,15114.587,0.000,0.000
1484179200,10000.000,14988.369,0.000,0.000
1484265600,10000.000,14956.814,0.000,0.000
1484524800,10000.000,14946.296,0.000,0.000
1484611200,10000.000,15093.550,0.000,0.000
1484697600,10000.000,15240.805,0.000,0.000
1484784000,10000.000,15251.323,0.000,0.000
1484870400,10000.000,15367.022,0.000,0.000
1485129600,10000.000,15345.986,0.000,0.000
1485216000,10000.000,15356.504,0.000,0.000
1485302400,10000.000,15398.577,0.000,0.000
1485388800,10000.000,15419.613,0.000,0.000
1486080000,10000.000,15314.432,0.000,0.000
1486339200,10000.000,15356.504,0.000,0.000
1486425600,10000.000,15324.950,0.000,0.000
1486512000,10000.000,15377.541,0.000,0.000
1486598400,10000.000,15461.686,0.000,0.000
1486684800,10000.000,15493.240,0.000,0.000
1486944000,10000.000,15766.712,0.000,0.000
1487030400,10000.000,15735.158,0.000,0.000
1487116800,10000.000,15682.567,0.000,0.000
1487203200,10000.000,15798.267,0.000,0.000
1487289600,10000.000,15882.412,0.000,0.000
1487548800,10000.000,16355.729,0.000,0.000
1487635200,10000.000,16334.693,0.000,0.000
1487721600,10000.000,16481.947,0.000,0.000
1487808000,10000.000,16429.356,0.000,0.000
1487894400,10000.000,16355.729,0.000,0.000
1488153600,10000.000,16124.330,0.000,0.000
1488240000,10000.000,16176.920,0.000,0.000
1488326400,10000.000,16229.511,0.000,0.000
1488412800,10000.000,16166.402,0.000,0.000
1488499200,10000.000,16218.993,0.000,0.000
1488758400,10000.000,16450.392,0.000,0.000
1488844800,10000.000,16618.683,0.000,0.000
1488931200,10000.000,16576.610,0.000,0.000
1489017600,10000.000,16502.983,0.000,0.000
1489104000,10000.000,16692.310,0.000,0.000
1489363200,10000.000,16797.491,0.000,0.000
1489449600,10000.000,16776.455,0.000,0.000
1489536000,10000.000,16913.191,0.000,0.000
1489622400,10000.000,16829.046,0.000,0.000
1489708800,10000.000,16734.382,0.000,0.000
1489968000,10000.000,16786.973,0.000,0.000
1490054400,10000.000,17197.181,0.000,0.000
1490140800,10000.000,17365.472,0.000,0.000
1490227200,10000.000,17344.435,0.000,0.000
1490313600,10000.000,17354.953,0.000,0.000
1490572800,10000.000,17101.466,0.000,0.000
1490659200,10000.000,17092.000,0.000,0.000
1490745600,10000.000,17155.109,0.000,0.000
1490832000,10000.000,17049.927,0.000,0.000
1490918400,10000.000,17218.217,0.000,0.000
1491350400,10000.000,17218.217,0.000,0.000
1491436800,10000.000,17260.290,0.000,0.000
1491523200,10000.000,17227.684,0.000,0.000
1491782400,10000.000,16997.336,0.000,0.000
1491868800,10000.000,16881.637,0.000,0.000
1491955200,10000.000,16976.300,0.000,0.000
1492041600,10000.000,17155.109,0.000,0.000
1492128000,10000.000,17007.854,0.000,0.000
1492387200,10000.000,17176.145,0.000,0.000
1492473600,10000.000,17512.726,0.000,0.000
1492560000,10000.000,17596.871,0.000,0.000
1492646400,10000.000,17912.416,0.000,0.000
1492732800,10000.000,17786.198,0.000,0.000
1492992000,10000.000,17628.425,0.000,0.000
1493078400,10000.000,18028.115,0.000,0.000
1493164800,10000.000,17901.897,0.000,0.000
1493251200,10000.000,17933.452,0.000,0.000
1493337600,10000.000,17681.016,0.000,0.000
1493683200,10000.000,17723.089,0.000,0.000
1493769600,10000.000,17807.234,0.000,0.000
1493856000,10000.000,17744.125,0.000,0.000
1493942400,10000.000,17765.161,0.000,0.000
1494201600,10000.000,17470.653,0.000,0.000
1494288000,10000.000,17439.099,0.000,0.000
1494374400,10000.000,17470.653,0.000,0.000
1494460800,10000.000,17754.643,0.000,0.000
1494547200,10000.000,17849.307,0.000,0.000
1494806400,10000.000,17922.934,0.000,0.000
1494892800,10000.000,18259.515,0.000,0.000
1494979200,10000.000,18017.597,0.000,0.000
1495065600,10000.000,17975.525,0.000,0.000
1495152000,10000.000,18143.815,0.000,0.000
1495411200,10000.000,18206.924,0.000,0.000
1495497600,10000.000,18438.323,0.000,0.000
1495584000,10000.000,18364.696,0.000,0.000
1495670400,10000.000,18312.105,0.000,0.000
1495756800,10000.000,18385.733,0.000,0.000
1496188800,10000.000,18406.769,0.000,0.000
1496275200,10000.000,18490.914,0.000,0.000
1496361600,10000.000,18417.287,0.000,0.000
1496620800,10000.000,18291.069,0.000,0.000
1496707200,10000.000,18648.686,0.000,0.000
1496793600,10000.000,18943.195,0.000,0.000
1496880000,10000.000,19300.812,0.000,0.000
1496966400,10000.000,19353.403,0.000,0.000
1497225600,10000.000,19616.357,0.000,0.000
1497312000,10000.000,19658.429,0.000,0.000
1497398400,10000.000,19405.993,0.000,0.000
1497484800,10000.000,19290.294,0.000,0.000
1497571200,10000.000,19143.040,0.000,0.000
1497830400,10000.000,19363.921,0.000,0.000
1497916800,10000.000,19321.848,0.000,0.000
1498003200,10000.000,19763.611,0.000,0.000
1498089600,10000.000,19689.984,0.000,0.000
1498176000,10000.000,19963.456,0.000,0.000
1498435200,10000.000,20268.482,0.000,0.000
1498521600,10000.000,20279.000,0.000,0.000
1498608000,10000.000,19910.865,0.000,0.000
1498694400,10000.000,19921.383,0.000,0.000
1498780800,10000.000,20026.564,0.000,0.000
1499040000,10000.000,19711.020,0.000,0.000
1499126400,10000.000,19479.621,0.000,0.000
1499212800,10000.000,19774.129,0.000,0.000
1499299200,10000.000,19784.647,0.000,0.000
1499385600,10000.000,19542.729,0.000,0.000
1499644800,10000.000,19574.284,0.000,0.000
1499731200,10000.000,19931.901,0.000,0.000
1499817600,10000.000,19668.947,0.000,0.000
1499904000,10000.000,19616.357,0.000,0.000
1499990400,10000.000,19742.574,0.000,0.000
1500249600,10000.000,19542.729,0.000,0.000
1500336000,10000.000,19511.175,0.000,0.000
1500422400,10000.000,19637.393,0.000,0.000
1500508800,10000.000,19931.901,0.000,0.000
1500595200,10000.000,19921.383,0.000,0.000
1500854400,10000.000,20205.373,0.000,0.000
1500940800,10000.000,20152.782,0.000,0.000
1501027200,10000.000,19763.611,0.000,0.000
1501113600,10000.000,19689.984,0.000,0.000
1501200000,10000.000,20026.564,0.000,0.000
1501459200,10000.000,19984.492,0.000,0.000
1501545600,10000.000,20037.083,0.000,0.000
1501632000,10000.000,19931.901,0.000,0.000
1501718400,10000.000,19616.357,0.000,0.000
1501804800,10000.000,19469.102,0.000,0.000
1502064000,10000.000,19879.310,0.000,0.000
1502150400,10000.000,19889.828,0.000,0.000
1502236800,10000.000,20310.555,0.000,0.000
1502323200,10000.000,20289.518,0.000,0.000
1502409600,10000.000,19995.010,0.000,0.000
1502668800,10000.000,20289.518,0.000,0.000
1502755200,10000.000,20236.928,0.000,0.000
1502841600,10000.000,20100.192,0.000,0.000
1502928000,10000.000,20016.046,0.000,0.000
1503014400,10000.000,20016.046,0.000,0.000
1503273600,10000.000,20100.192,0.000,0.000
1503360000,10000.000,20079.155,0.000,0.000
1503446400,10000.000,20163.300,0.000,0.000
1503532800,10000.000,20142.264,0.000,0.000
1503619200,10000.000,20247.446,0.000,0.000
1503878400,10000.000,20415.736,0.000,0.000
1503964800,10000.000,20257.964,0.000,0.000
1504051200,10000.000,20447.291,0.000,0.000
1504137600,10000.000,20394.700,0.000,0.000
1504224000,10000.000,20373.664,0.000,0.000
1504483200,10000.000,20205.373,0.000,0.000
1504569600,10000.000,20247.446,0.000,0.000
1504656000,10000.000,20131.746,0.000,0.000
1504742400,10000.000,20005.528,0.000,0.000
1504828800,10000.000,19868.792,0.000,0.000
1505088000,10000.000,19931.901,0.000,0.000
1505174400,10000.000,20005.528,0.000,0.000
1505260800,10000.000,20300.036,0.000,0.000
1505347200,10000.000,20279.000,0.000,0.000
1505433600,10000.000,20447.291,0.000,0.000
1505692800,10000.000,20678.690,0.000,0.000
1505779200,10000.000,20510.400,0.000,0.000
1505865600,10000.000,20668.172,0.000,0.000
1505952000,10000.000,20636.617,0.000,0.000
1506038400,10000.000,20804.908,0.000,0.000
1506297600,10000.000,20962.680,0.000,0.000
1506384000,10000.000,20836.462,0.000,0.000
1506470400,10000.000,20825.944,0.000,0.000
1506556800,10000.000,20941.644,0.000,0.000
1506643200,10000.000,21078.380,0.000,0.000
1507507200,10000.000,21477.018,0.000,0.000
1507593600,10000.000,21604.288,0.000,0.000
1507680000,10000.000,22003.977,0.000,0.000
1507766400,10000.000,22025.014,0.000,0.000
1507852800,10000.000,22025.014,0.000,0.000
1508112000,10000.000,21867.241,0.000,0.000
1508198400,10000.000,21961.905,0.000,0.000
1508284800,10000.000,22266.931,0.000,0.000
1508371200,10000.000,22487.812,0.000,0.000
1508457600,10000.000,22245.895,0.000,0.000
1508716800,10000.000,22351.076,0.000,0.000
1508803200,10000.000,22477.294,0.000,0.000
1508889600,10000.000,22687.657,0.000,0.000
1508976000,10000.000,22845.430,0.000,0.000
1509062400,10000.000,23266.156,0.000,0.000
1509321600,10000.000,23192.529,0.000,0.000
1509408000,10000.000,23024.238,0.000,0.000
1509494400,10000.000,22908.539,0.000,0.000
1509580800,10000.000,23076.829,0.000,0.000
1509667200,10000.000,23108.384,0.000,0.000
1509926400,10000.000,23749.991,0.000,0.000
1510012800,10000.000,23727.903,0.000,0.000
1510099200,10000.000,23550.146,0.000,0.000
1510185600,10000.000,23707.918,0.000,0.000
1510272000,10000.000,24254.862,0.000,0.000
1510531200,10000.000,24160.199,0.000,0.000
1510617600,10000.000,23802.582,0.000,0.000
1510704000,10000.000,23938.266,0.000,0.000
