ts,invest,money,buy,sell
1457913600,10000.000,11190.000,0.000,0.000
1458000000,10000.000,11190.000,0.000,0.000
1458086400,10000.000,11080.000,0.000,0.000
1458172800,10000.000,11299.000,0.000,0.000
1458259200,10000.000,11500.000,0.000,0.000
1458518400,10000.000,11660.000,0.000,0.000
1458604800,10000.000,11660.000,0.000,0.000
1458691200,10000.000,11670.000,0.000,0.000
1458777600,10000.000,11650.000,0.000,0.000
1458864000,10000.000,11720.000,0.000,0.000
1459123200,10000.000,11810.000,0.000,0.000
1459209600,10000.000,11640.000,0.000,0.000
1459296000,10000.000,11880.000,0.000,0.000
1459382400,10000.000,11940.000,0.000,0.000
1459468800,10000.000,11870.000,0.000,0.000
1459814400,10000.000,12050.000,0.000,0.000
1459900800,10000.000,12190.000,0.000,0.000
1459987200,10000.000,12010.000,0.000,0.000
1460073600,10000.000,11940.000,0.000,0.000
1460332800,10000.000,12090.000,0.000,0.000
1460419200,10000.000,12050.000,0.000,0.000
1460505600,10000.000,12100.000,0.000,0.000
1460592000,10000.000,12200.000,0.000,0.000
1460678400,10000.000,12150.000,0.000,0.000
1460937600,10000.000,12060.000,0.000,0.000
1461024000,10000.000,12110.000,0.000,0.000
1461110400,10000.000,11760.000,0.000,0.000
1461196800,10000.000,11730.000,0.000,0.000
1461283200,10000.000,11940.000,0.000,0.000
1461542400,10000.000,11900.000,0.000,0.000
1461628800,10000.000,12010.000,0.000,0.000
1461715200,10000.000,12060.000,0.000,0.000
1461801600,10000.000,12040.000,0.000,0.000
1461888000,10000.000,12130.000,0.000,0.000
1462233600,10000.000,12589.000,0.000,0.000
1462320000,10000.000,12500.000,0.000,0.000
1462406400,10000.000,12520.000,0.000,0.000
1462492800,10000.000,12120.000,0.000,0.000
1462752000,10000.000,12020.000,0.000,0.000
1462838400,10000.000,12180.000,0.000,0.000
1462924800,10000.000,12350.000,0.000,0.000
1463011200,10000.000,12330.000,0.000,0.000
1463097600,10000.000,12210.000,0.000,0.000
